"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"30-Nov-2023","EQ","233.30","233.33","231.81","233.48","233.33","232.58","232.51","244.00","197.00","1,832","4,25,960.07","29"
"29-Nov-2023","EQ","230.05","233.60","230.05","229.71","233.60","233.48","231.34","244.00","197.00","1,235","2,85,698.80","46"
"28-Nov-2023","EQ","229.81","229.99","229.71","229.00","229.71","229.71","229.86","244.00","197.00","92","21,147.20","9"
"24-Nov-2023","EQ","228.80","229.89","227.95","229.07","228.87","229.00","228.36","244.00","197.00","898","2,05,063.39","30"
"23-Nov-2023","EQ","228.00","229.13","228.00","227.98","228.94","229.07","228.78","244.00","197.00","205","46,899.68","13"
"22-Nov-2023","EQ","229.10","229.10","226.91","229.54","228.15","227.98","227.84","244.00","197.00","613","1,39,663.14","49"
"21-Nov-2023","EQ","228.49","229.99","228.47","227.89","229.54","229.54","229.47","244.00","197.00","174","39,928.21","15"
"20-Nov-2023","EQ","235.45","235.45","227.50","228.61","227.91","227.89","227.93","244.00","197.00","1,21,455","2,76,83,445.07","56"
"17-Nov-2023","EQ","229.27","230.30","228.61","231.96","228.61","228.61","229.25","244.00","197.00","938","2,15,036.44","31"
"16-Nov-2023","EQ","231.55","232.49","230.93","231.22","230.93","231.96","231.97","244.00","197.00","1,269","2,94,366.95","13"
"15-Nov-2023","EQ","231.56","233.00","231.13","229.77","231.22","231.22","232.15","244.00","197.00","9,197","21,35,040.55","25"
"13-Nov-2023","EQ","229.30","229.77","228.25","232.17","229.77","229.77","228.94","244.00","197.00","177","40,521.56","31"
"12-Nov-2023","EQ","229.72","235.40","229.72","229.40","235.40","232.17","231.55","244.00","197.00","500","1,15,777.00","21"
"10-Nov-2023","EQ","228.74","229.40","228.67","229.61","229.40","229.40","229.10","244.00","197.00","249","57,045.50","14"
"09-Nov-2023","EQ","229.00","230.00","229.00","228.24","229.61","229.61","229.74","244.00","197.00","47","10,797.77","16"
"08-Nov-2023","EQ","228.43","228.95","227.76","228.00","228.24","228.24","227.89","244.00","197.00","1,476","3,36,361.79","14"
"07-Nov-2023","EQ","227.80","228.00","226.93","228.27","228.00","228.00","227.07","244.00","197.00","1,145","2,59,989.52","20"
"06-Nov-2023","EQ","227.00","228.58","227.00","226.46","228.58","228.27","227.98","244.00","197.00","169","38,527.94","23"
