Date,Open,High,Low,Close,Adj Close,Volume
2023-11-06,38.400002,38.849998,37.549999,38.200001,38.200001,1800
2023-11-07,37.650002,37.650002,37.650002,37.650002,37.650002,200
2023-11-08,37.650002,37.650002,37.650002,37.650002,37.650002,0
2023-11-09,38.250000,38.250000,38.250000,38.250000,38.250000,500
2023-11-10,38.330002,38.330002,38.330002,38.330002,38.330002,600
2023-11-13,37.639999,39.000000,37.639999,37.770000,37.770000,1200
2023-11-14,39.000000,39.099998,38.180000,38.369999,38.369999,1800
2023-11-15,39.990002,40.529999,39.889999,39.889999,39.889999,5200
2023-11-16,40.200001,42.000000,40.200001,41.099998,41.099998,1600
2023-11-17,42.869999,42.869999,41.990002,41.990002,41.990002,2100
2023-11-20,41.830002,41.830002,40.849998,41.080002,41.080002,5000
2023-11-21,42.000000,42.000000,41.470001,41.900002,41.900002,4400
2023-11-22,40.970001,40.970001,40.970001,40.970001,40.970001,400
2023-11-24,41.570000,42.099998,41.570000,41.900002,41.900002,1900
2023-11-27,40.799999,40.950001,40.799999,40.950001,40.950001,700
2023-11-28,41.220001,41.500000,41.220001,41.470001,41.470001,800
2023-11-29,41.919998,42.450001,41.380001,41.810001,41.810001,1000
2023-11-30,41.369999,41.369999,41.369999,41.369999,41.369999,2600
2023-12-01,41.099998,41.500000,40.700001,41.500000,41.500000,1200
2023-12-04,40.599998,40.599998,40.599998,40.599998,40.599998,1000
2023-12-05,40.700001,40.950001,40.200001,40.200001,40.200001,1700
2023-12-06,40.259998,40.509998,40.259998,40.259998,40.259998,800
2023-12-07,40.509998,40.509998,40.000000,40.509998,40.509998,1300
2023-12-08,40.509998,40.509998,40.509998,40.509998,40.509998,0
2023-12-11,39.799999,39.799999,39.799999,39.799999,39.799999,100
2023-12-12,40.650002,41.750000,40.650002,41.750000,41.750000,14300
2023-12-13,41.299999,42.250000,41.299999,42.250000,42.250000,11000
2023-12-14,42.250000,42.959999,42.119999,42.930000,42.930000,5100
2023-12-15,42.580002,42.580002,42.500000,42.500000,42.500000,1600
2023-12-18,41.380001,41.380001,41.299999,41.299999,41.299999,400
2023-12-19,41.299999,41.750000,41.049999,41.349998,41.349998,2900
2023-12-20,41.500000,41.500000,41.500000,41.500000,41.500000,700
2023-12-21,41.500000,41.500000,41.500000,41.500000,41.500000,0
2023-12-22,41.970001,42.380001,41.070000,41.299999,41.299999,3800
2023-12-26,40.660000,41.529999,40.660000,40.779999,40.779999,1500
2023-12-27,40.790001,42.000000,40.790001,42.000000,42.000000,900
2023-12-28,42.369999,43.509998,42.369999,43.500000,43.500000,2700
2023-12-29,43.639999,43.639999,42.580002,43.180000,43.180000,1400
2024-01-02,41.299999,41.299999,41.299999,41.299999,41.299999,400
2024-01-03,41.299999,41.299999,41.299999,41.299999,41.299999,0
2024-01-04,41.500000,41.500000,40.790001,40.790001,40.790001,300
2024-01-05,40.790001,40.790001,40.790001,40.790001,40.790001,0
2024-01-08,41.029999,41.029999,41.029999,41.029999,41.029999,300
2024-01-09,40.840000,41.619999,40.669998,41.619999,41.619999,3700
2024-01-10,41.220001,42.000000,41.220001,41.450001,41.450001,1900
2024-01-11,41.450001,41.450001,41.450001,41.450001,41.450001,0
2024-01-12,41.650002,42.000000,41.650002,42.000000,42.000000,700
2024-01-16,40.240002,41.650002,40.240002,41.610001,41.610001,108600
2024-01-17,41.630001,41.630001,41.020000,41.020000,41.020000,700
2024-01-18,40.810001,41.369999,40.810001,40.810001,40.810001,800
2024-01-19,40.849998,41.369999,40.849998,40.889999,40.889999,3200
2024-01-22,40.700001,41.730000,40.349998,40.900002,40.900002,2500
2024-01-23,40.900002,41.560001,40.799999,41.250000,41.250000,2400
2024-01-24,41.029999,41.400002,41.029999,41.400002,41.400002,1600
2024-01-25,40.840000,41.439999,40.840000,41.230000,41.230000,2200
2024-01-26,41.230000,41.700001,41.230000,41.230000,41.230000,800
2024-01-29,42.209999,43.680000,42.200001,42.500000,42.500000,1900
2024-01-30,42.119999,42.410000,42.119999,42.410000,42.410000,600
2024-01-31,43.130001,43.130001,42.549999,42.549999,42.549999,400
2024-02-01,44.529999,44.599998,44.080002,44.450001,44.450001,5400
2024-02-02,46.369999,49.110001,46.369999,47.029999,47.029999,5400
